website,city,name,sub_url,url,kvk,postal_code,address,email,phoneno
www.bbcreamshop.eu,Kerkrade,Bike Arena Parkstad,https://www.bedrijvenpagina.nl/BB_Creamshop/3231706/7f2d61fc/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=6,,6466 NG,Wiebachstraat 77D,info@bbcreamshop.eu,
www.sazzylingerie.nl,Velsen-Noord,Airsoft Supply,https://www.bedrijvenpagina.nl/SAZZY_LINGERIE/3457359/201d3b67/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=3,64387763,1951 EW,Stratingplantsoen 60RD,sazzy-lingerie@outlook.com,06 11349497
"www.anillidesign.nl,www.anillidesign.com",Arnhem,Art of Wam Denim,https://www.bedrijvenpagina.nl/Anilli_Design/68740/9bf654d0/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=4,17176396,6811 ES,Vijzelstraat 2,info@anillidesign.nl,06 44420948
www.awekakampen.nl,'s-Hertogenbosch,Barlin Supermarkt,https://www.bedrijvenpagina.nl/Aweka_Kampen/3584264/ed163836/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=5,,5223 CB,Celsiusstraat 6,aweka@planet.nl,06 44223817
www.liebrechtsarchitecten.nl,Noordwijkerhout,Lans Energie- & Bouwadvies,https://www.bedrijvenpagina.nl/Architectenbureau_Enrico_Liebrechts/3063718/318b0e18/,https://www.bedrijvenpagina.nl/zoek/winkels/,58059385,2211 PL,Sporkenhout 5,info@liebrechtsarchitecten.nl,06 24328226
www.koffietheek.nl,Velp Gld,De Passiebloem,https://www.bedrijvenpagina.nl/De_KoffieTheek/375278/4ce71ae5/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=13,27190732,6882 LG,IJsselstraat 32-A,info@koffietheek.nl,06 24582559
www.marties-crystaldesign.com,Tilburg,P.ascalArtz,https://www.bedrijvenpagina.nl/Martie's_Crystal_Design/2603892/2b4d49b5/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=2,53686918,5038 EK,Noordstraat 52 B,info@marties-crystaldesign.com,06 26860686
,Landgraaf,Computech Hoensbroek,https://www.bedrijvenpagina.nl/Charl%C3%A8ne's_Maison_%26_D%C3%A9coration/3435897/70d848a4/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=10,64025586,6373 VT,Aan de Put 42,charlenemaisondecoration@outlook.com,06 45023660
,Almere,Domburg Foods B.V.,https://www.bedrijvenpagina.nl/Desa_Fashion/3533016/d200913f/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=14,65716795,1351 AV,De Steiger 190,desafashion@outlook.com,"06 14455565,06 41014460"
www.buonissimofood.nl,Velden,Chakyr Party's and Gifts,https://www.bedrijvenpagina.nl/Buonissimo:_duurzaam_met_smaak/3534443/149ea76c/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=9,65749731,5941 NN,Ebberstraat 35,patrizia@buonissimofood.nl,06 38301357
www.cowmuseum.nl,Krommenie,Dampwinkeltje,https://www.bedrijvenpagina.nl/Cow_Museum/3403009/6f0912ba/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=11,63477890,1561 AD,Vlietsend 66,info@cowmuseum.nl,06 14043281
www.dampwinkeltje.nl,Roosendaal,De Handelaar,https://www.bedrijvenpagina.nl/Dampwinkeltje/3469130/099def49/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=12,60633360,4702 VV,Spoorstraat 7,info@dampwinkeltje.nl,06 15895662
www.draadloze-speakershop.nl/epages/79280343.sf/nl_NL/?ObjectPath=/Shops/79280343/Categories/Category1,Spijkenisse,Europastry Benelux B.V.,https://www.bedrijvenpagina.nl/Draadloze-Speakershop.nl/3560220/b5d3b0ad/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=15,66196728,3208 KJ,Curieweg 4,info@draadloze-speakershop.nl,
,Beverwijk,Good For You Beverwijk,https://www.bedrijvenpagina.nl/Gala_Shop/3639220/5f29e26a/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=18,67666213,1941 EC,Beverhof 10,e.roymans@chello.nl,06 54962325
www.faithbyclifton.nl,Utrecht,Fietshandel JJ,https://www.bedrijvenpagina.nl/Faith_by_Clifton/3553205/b855b21c/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=16,66071011,3526 GN,Marco Pololaan 212,"rolayne.clifton@yahoo.com,info@faithbyclifton.nl",06 44218640
www.fietspleziersalland.nl,Leveroy,F&S Dutch Clothing,https://www.bedrijvenpagina.nl/Fietsplezier_Salland/2556766/ea01e72b/,https://www.bedrijvenpagina.nl/zoek/winkels/?p=17,52740609,6091 NW,Swelstraat 7,info@fietspleziersalland.nl,
